Maharashtra,5852891,10891,170794,5580925,16577,101172,702
Andhra Pradesh,1771007,7796,107588,1651790,14641,11629,77
Karnataka,2717289,9808,225025,2460165,23449,32099,179
Goa,160284,473,5899,151526,952,2859,19
Tamil Nadu,2274704,18023,218595,2028344,31045,27765,409
Kerala,2657962,15567,143670,2504011,20019,10281,124
Chhattisgarh,982962,1102,19471,950234,2707,13257,14
Telangana,595000,1897,24306,567285,2982,3409,15
Odisha,825110,5896,65389,756641,8836,3080,45
Madhya Pradesh,786302,535,7983,769914,1376,8405,36
Gujarat,817707,695,14724,793028,2122,9955,11
Rajasthan,947504,529,13624,925161,2617,8719,32
Haryana,763566,635,7531,747246,1090,8789,38
Uttar Pradesh,1699787,704,14067,1664295,2226,21425,92
Delhi,1429791,316,4962,1400161,521,24668,41
Assam,442694,3948,50505,388451,3419,3738,43
Sikkim,17425,255,4018,13132,286,275,2
Bihar,714590,711,7898,701234,1010,5458,34
West Bengal,1437446,5427,19925,1401061,12290,16460,98
Andaman And Nicobar Islands,7154,23,94,6935,23,125,2
Puducherry,110106,545,7147,101315,938,1644,6
Arunachal Pradesh,30000,304,3305,26569,438,126,1
Nagaland,23051,133,4676,17943,157,432,3
Dadra And Nagar Haveli,10427,8,161,10262,1,4,0
Jharkhand,342179,603,5099,332007,803,5073,13
Tripura,56794,625,5777,50440,861,577,5
Ladakh,19330,72,941,18194,142,195,0
Jammu And Kashmir,302651,1184,21817,276733,2880,4101,11
Himachal Pradesh,196351,596,6983,186040,1155,3328,13
Punjab,582081,1252,18546,548316,2642,15219,59
Uttarakhand,334965,546,11885,316283,2717,6797,66
Manipur,56576,748,9141,46527,579,908,12
Chandigarh,60778,71,685,59314,121,779,5
Meghalaya,39535,379,4924,33933,773,678,9
Mizoram,14196,200,3370,10769,216,57,2
Lakshadweep,8874,99,890,7942,53,42,1
